player_id,player_name,n_games,slope,r,p_two_sided
jamesle01,LeBron James,66,-0.1809599346113287,-0.23307087036933527,0.05965620024974288
porzikr01,Kristaps PorziÅÄ£is,60,-0.1743958373172279,-0.19334431442836497,0.13883578902323818
nurkiju01,Jusuf NurkiÄ,71,-0.12401337755200934,-0.20413595259918046,0.08771420233271111
butleji01,Jimmy Butler,114,-0.12065971583259841,-0.14979182434365237,0.11167669076769056
mcderdo01,Doug McDermott,59,-0.11943450837282539,-0.17291189053822706,0.19031980875379798
willizi01,Zion Williamson,65,-0.1128214810909452,-0.1697938277711599,0.17631075213608324
townska01,Karl-Anthony Towns,126,-0.09699994336262935,-0.12104985554966585,0.17694860014806643
portemi01,Michael Porter Jr.,133,-0.08857674701622996,-0.15196815854791637,0.08077691122805228
wembavi01,Victor Wembanyama,66,-0.08449002417030449,-0.1535116185012549,0.21846673615689843
gordoaa01,Aaron Gordon,201,-0.08387632077213476,-0.17467644528283152,0.013133881525763235
greendr01,Draymond Green,68,-0.07755442401408884,-0.1284460053892491,0.2965375484076415
banede01,Desmond Bane,71,-0.07754295255200432,-0.10115743722733408,0.40124806849992123
wallaca01,Cason Wallace,77,-0.07584498736103572,-0.16470657109402798,0.1523009401184332
bogdabo02,Bojan BogdanoviÄ,64,-0.07363635850638844,-0.11343898492912324,0.3721189765730168
barnesc01,Scottie Barnes,196,-0.06911332937871835,-0.1218311436163139,0.08893010815855094
gilgesh01,Shai Gilgeous-Alexander,133,-0.0656172567171556,-0.0646914827317926,0.45942643245136994
brogdma01,Malcolm Brogdon,62,-0.0615696115722885,-0.15022456102465256,0.2438472029129635
fournev01,Evan Fournier,75,-0.06127972794054342,-0.13110833824320028,0.2621990310952488
bridgmi02,Miles Bridges,139,-0.057753428573309395,-0.0880810369998287,0.30249948299533785
turnemy01,Myles Turner,129,-0.052732208166118726,-0.09088449273901913,0.30568236546868804
collijo01,John Collins,129,-0.05030948600942668,-0.1467071986637369,0.09710685183243965
lillada01,Damian Lillard,68,-0.04489235991201854,-0.05303903609790471,0.6675121805379775
holidju01,Justin Holiday,69,-0.044487707359997485,-0.12997375558183,0.2871283613156087
sochaje01,Jeremy Sochan,69,-0.04157544461378674,-0.04770939230008196,0.6970647655143144
shamela01,Landry Shamet,64,-0.040061188353262354,-0.13110240881158364,0.3017850233978013
cunnica01,Cade Cunningham,116,-0.03905129418829895,-0.06830578020673543,0.4662707508476322
curryst01,Stephen Curry,128,-0.03792960958885144,-0.04359225686192657,0.6251359871972861
adebaba01,Bam Adebayo,136,-0.037728337788623285,-0.052020029789583616,0.5475333443672417
murrade01,Dejounte Murray,205,-0.037251414426211146,-0.04327373050297814,0.5378380133033761
kennalu01,Luke Kennard,65,-0.035431495424769484,-0.07789426719613182,0.5373953089937654
