player_id,name,G,MPG
adebaba01,Bam Adebayo,75,34.6
aldamsa01,Santi Aldama,77,21.8
allengr01,Grayson Allen,72,27.4
allenja01,Jarrett Allen,68,32.6
alvarjo01,Jose Alvarado,61,21.5
anderky01,Kyle Anderson,69,28.4
antetgi01,Giannis Antetokounmpo,63,32.1
anthoco01,Cole Anthony,60,25.9
anunoog01,OG Anunoby,67,35.6
avdijde01,Deni Avdija,76,26.6
aytonde01,Deandre Ayton,67,30.4
banchpa01,Paolo Banchero,72,33.8
barneha02,Harrison Barnes,82,32.5
barnesc01,Scottie Barnes,77,34.8
barrerj01,RJ Barrett,73,33.9
bateske01,Keita Bates-Diop,67,21.7
batumni01,Nicolas Batum,78,21.9
beaslma01,Malik Beasley,81,25.8
beverpa01,Patrick Beverley,67,27.1
beysa01,Saddiq Bey,77,27.6
bolbo01,Bol Bol,70,21.5
bouchch01,Chris Boucher,76,20.0
branhma01,Malaki Branham,66,23.5
bridgmi01,Mikal Bridges,83,35.7
brogdma01,Malcolm Brogdon,67,26.0
brookdi01,Dillon Brooks,73,30.3
brownbr01,Bruce Brown,80,28.5
brownja02,Jaylen Brown,67,35.9
browntr01,Troy Brown Jr.,76,24.5
brunsja01,Jalen Brunson,68,35.0
bullore01,Reggie Bullock,78,30.3
butleji01,Jimmy Butler,64,33.4
caldwke01,Kentavious Caldwell-Pope,76,31.3
capelca01,Clint Capela,65,26.6
carteje01,Jevon Carter,81,22.3
carusal01,Alex Caruso,67,23.5
clarkjo01,Jordan Clarkson,61,32.6
claxtni01,Nic Claxton,76,29.9
collijo01,John Collins,71,30.0
colliza01,Zach Collins,63,22.9
conlemi01,Mike Conley,67,30.3
connapa01,Pat Connaughton,61,23.7
craigto01,Torrey Craig,79,24.7
derozde01,DeMar DeRozan,74,36.2
dinwisp01,Spencer Dinwiddie,79,34.5
divindo01,Donte DiVincenzo,72,26.3
doncilu01,Luka DonÄiÄ,66,36.2
dortlu01,Luguentz Dort,74,30.7
dosunay01,Ayo Dosunmu,80,26.2
durenja01,Jalen Duren,67,24.9
easonta01,Tari Eason,82,21.5
edwaran01,Anthony Edwards,79,36.0
embiijo01,Joel Embiid,66,34.6
eubandr01,Drew Eubanks,78,20.3
finnedo01,Dorian Finney-Smith,66,30.4
foxde01,De'Aaron Fox,73,33.4
fultzma01,Markelle Fultz,60,29.6
