player_id,name,G,MPG
achiupr01,Precious Achiuwa,73,23.6
adamsst01,Steven Adams,76,26.3
alexani01,Nickeil Alexander-Walker,65,22.6
allengr01,Grayson Allen,66,27.3
anderky01,Kyle Anderson,69,21.5
antetgi01,Giannis Antetokounmpo,67,32.9
anthoca01,Carmelo Anthony,69,26.0
anthoco01,Cole Anthony,65,31.7
avdijde01,Deni Avdija,82,24.2
ballla01,LaMelo Ball,75,32.3
bambamo01,Mo Bamba,71,25.7
banede01,Desmond Bane,76,29.8
barneha02,Harrison Barnes,77,33.5
barnesc01,Scottie Barnes,74,35.4
barrerj01,RJ Barrett,70,34.5
bartowi01,Will Barton,71,32.1
bazleda01,Darius Bazley,69,27.9
beaslma01,Malik Beasley,79,25.0
beysa01,Saddiq Bey,82,33.0
bogdabo01,Bogdan BogdanoviÄ,63,29.3
bogdabo02,Bojan BogdanoviÄ,69,30.9
bookede01,Devin Booker,68,34.5
bouchch01,Chris Boucher,80,21.1
bradlav01,Avery Bradley,62,22.7
bridgmi01,Mikal Bridges,82,34.8
bridgmi02,Miles Bridges,80,35.5
brissos01,Oshae Brissett,67,23.3
brownbr01,Bruce Brown,72,24.6
brownja02,Jaylen Brown,66,33.6
brunsja01,Jalen Brunson,79,31.9
bullore01,Reggie Bullock,68,28.0
burksal01,Alec Burks,81,28.6
caldwke01,Kentavious Caldwell-Pope,77,30.2
capelca01,Clint Capela,74,27.6
cartewe01,Wendell Carter Jr.,62,29.9
clarkjo01,Jordan Clarkson,79,27.1
coffeam01,Amir Coffey,69,22.7
conlemi01,Mike Conley,72,28.6
connapa01,Pat Connaughton,65,26.0
covinro01,Robert Covington,71,27.3
craigto01,Torrey Craig,78,20.5
crowdja01,Jae Crowder,67,28.1
cunnica01,Cade Cunningham,64,32.6
curryse01,Seth Curry,64,33.4
curryst01,Stephen Curry,64,34.5
derozde01,DeMar DeRozan,76,36.1
dinwisp01,Spencer Dinwiddie,67,29.6
doncilu01,Luka DonÄiÄ,65,35.4
dosunay01,Ayo Dosunmu,77,27.4
edwaran01,Anthony Edwards,72,34.3
embiijo01,Joel Embiid,68,33.8
finnedo01,Dorian Finney-Smith,80,33.1
fournev01,Evan Fournier,80,29.5
gaffoda01,Daniel Gafford,72,20.1
gallida01,Danilo Gallinari,66,25.3
garlada01,Darius Garland,68,35.7
goberru01,Rudy Gobert,66,32.1
gordoaa01,Aaron Gordon,75,31.7
grahade01,Devonte' Graham,76,28.4
greenda02,Danny Green,62,21.8
greenja02,Javonte Green,65,23.4
greenja05,Jalen Green,67,31.9
greenje02,Jeff Green,75,24.7
halibty01,Tyrese Haliburton,77,35.0
hamptrj01,R.J. Hampton,64,21.9
hardeja01,James Harden,65,37.2
harremo01,Montrezl Harrell,71,23.1
harriga01,Gary Harris,61,28.4
harrito02,Tobias Harris,73,34.8
hayesja02,Jaxson Hayes,70,20.0
hayeski01,Killian Hayes,66,25.0
herroty01,Tyler Herro,66,32.6
hieldbu01,Buddy Hield,81,30.9
holidjr01,Jrue Holiday,67,33.0
holidju01,Justin Holiday,74,27.8
horfoal01,Al Horford,69,29.1
hortota01,Talen Horton-Tucker,60,25.2
huertke01,Kevin Huerter,74,29.6
jacksja02,Jaren Jackson Jr.,78,27.3
jacksre01,Reggie Jackson,75,31.2
johnsca02,Cameron Johnson,66,26.2
johnske04,Keldon Johnson,75,31.9
jokicni01,Nikola JokiÄ,74,33.5
joneshe01,Herbert Jones,78,29.9
jonesty01,Tyus Jones,73,21.2
josepco01,Cory Joseph,65,24.6
kennalu01,Luke Kennard,70,27.4
kispeco01,Corey Kispert,77,23.4
korkmfu01,Furkan Korkmaz,67,21.1
kuzmaky01,Kyle Kuzma,66,33.4
lavinza01,Zach LaVine,67,34.7
looneke01,Kevon Looney,82,21.1
loveke01,Kevin Love,74,22.5
lowryky01,Kyle Lowry,63,33.9
lylestr01,Trey Lyles,75,20.5
mannte01,Terance Mann,81,28.6
manntr01,Tre Mann,60,22.8
markkla01,Lauri Markkanen,61,30.8
martica02,Caleb Martin,60,22.9
martico01,Cody Martin,71,26.3
martike04,KJ Martin,79,21.0
mathega01,Garrison Mathews,65,26.3
maxeyty01,Tyrese Maxey,75,35.3
mccolcj01,CJ McCollum,62,34.6
mcdanja02,Jaden McDaniels,70,25.8
mclembe01,Ben McLemore,64,20.1
meltode01,De'Anthony Melton,73,22.7
metuch01,Chimezie Metu,60,21.3
middlkh01,Khris Middleton,66,32.4
millspa02,Patty Mills,81,29.0
mitchda01,Davion Mitchell,75,27.7
mitchdo01,Donovan Mitchell,67,33.8
mobleev01,Evan Mobley,69,33.8
monkma01,Malik Monk,76,28.1
morrimo01,Monte Morris,75,29.9
murrade01,Dejounte Murray,68,34.8
niangge01,Georges Niang,76,22.8
okekech01,Chuma Okeke,70,25.0
okorois01,Isaac Okoro,67,29.6
onealro01,Royce O'Neale,77,31.2
osmande01,Cedi Osman,66,22.2
oubreke01,Kelly Oubre Jr.,76,26.3
paulch01,Chris Paul,65,32.9
plumlma01,Mason Plumlee,73,24.6
poeltja01,Jakob Poeltl,68,29.0
pokusal01,Aleksej Pokusevski,61,20.2
poolejo01,Jordan Poole,76,30.0
porteke02,Kevin Porter Jr.,61,31.3
porteot01,Otto Porter Jr.,63,22.2
portibo01,Bobby Portis,72,28.2
poweldw01,Dwight Powell,82,21.9
quickim01,Immanuel Quickley,78,23.1
randlju01,Julius Randle,72,35.3
reaveau01,Austin Reaves,61,23.2
richajo01,Josh Richardson,65,24.6
riverau01,Austin Rivers,67,22.1
robindu01,Duncan Robinson,79,25.9
robinmi01,Mitchell Robinson,72,25.7
rosste01,Terrence Ross,63,23.0
roziete01,Terry Rozier,73,33.7
russeda01,D'Angelo Russell,65,32.0
sabondo01,Domantas Sabonis,62,34.5
schrode01,Dennis SchrÃ¶der,64,28.7
sengual01,Alperen ÅengÃ¼n,72,20.7
shamela01,Landry Shamet,69,20.8
siakapa01,Pascal Siakam,68,37.9
smartma01,Marcus Smart,71,32.3
stewais01,Isaiah Stewart,71,25.6
strusma01,Max Strus,68,23.3
tateja01,Jae'Sean Tate,78,26.4
tatumja01,Jayson Tatum,76,35.9
thybuma01,Matisse Thybulle,66,25.5
townska01,Karl-Anthony Towns,74,33.5
trentga02,Gary Trent Jr.,70,35.0
tuckepj01,P.J. Tucker,71,27.9
valanjo01,Jonas ValanÄiÅ«nas,74,30.3
vandeja01,Jarred Vanderbilt,74,25.4
vanvlfr01,Fred VanVleet,65,37.9
vassede01,Devin Vassell,71,27.3
vincega01,Gabe Vincent,68,23.4
vucevni01,Nikola VuÄeviÄ,73,33.1
wagnefr01,Franz Wagner,79,30.7
walkelo01,Lonnie Walker IV,70,23.0
washipj01,P.J. Washington,65,27.2
westbru01,Russell Westbrook,78,34.3
whiteco01,Coby White,61,27.5
whitede01,Derrick White,75,29.3
wiggian01,Andrew Wiggins,73,31.9
willigr01,Grant Williams,77,24.4
williro04,Robert Williams,61,29.6
willizi02,Ziaire Williams,62,21.7
woodch01,Christian Wood,68,30.8
youngtr01,Trae Young,76,34.9
zubaciv01,Ivica Zubac,76,24.4
